"Dictamen" "Antig_feina" "Vivenda" "Plaç" "Edat" "Estat_civil" "Registres" "Tipus_feina" "Despeses" "Ingressos" "Patrimoni" "Carrecs_pat" "Import_sol" "Preu_finan" "Rati_fin" "Estalvi"
"22" "positiu" 5 "escriptura" 60 22 "solter" "reg_no" "fixe" 45 324 10000 0 1100 1159 94.909404659189 15.2181818181818
"23" "negatiu" 1 "escriptura" 60 45 "casat" "reg_no" "temporal" 105 112 2000 500 600 1332 45.045045045045 0.2
"24" "positiu" 27 "lloguer" 60 41 "casat" "reg_no" "fixe" 74 140 0 0 950 1497 63.4602538410154 4.16842105263158
"25" "positiu" 26 "escriptura" 60 51 "casat" "reg_no" "fixe" 45 143 3500 0 1350 1357 99.4841562269713 4.35555555555556
"26" "positiu" 12 "escriptura" 36 54 "casat" "reg_no" "fixe" 60 130 4000 0 700 2100 33.3333333333333 3.6
"27" "positiu" 19 "escriptura" 60 43 "solter" "reg_no" "fixe" 75 180 4000 0 1000 1070 93.4579439252336 6.3
"28" "positiu" 15 "escriptura" 36 43 "casat" "reg_no" "fixe" 75 251 4000 0 1800 2557 70.3949941337505 3.52
"29" "negatiu" 3 "escriptura" 24 23 "casat" "reg_no" "fixe" 75 85 5000 0 600 1600 37.5 0.4
"30" "negatiu" 0 "pares" 48 37 "solter" "reg_no" "autonom" 35 121 0 0 1500 1850 81.0810810810811 2.752
"31" "positiu" 4 "escriptura" 48 29 "casat" "reg_no" "fixe" 45 150 5000 3300 1100 1312 83.8414634146341 3.14181818181818
"32" "negatiu" 0 "escriptura" 36 23 "solter" "reg_no" "temporal" 45 122 2500 0 400 400 100 6.93
"33" "positiu" 14 "contr_privat" 24 51 "casat" "reg_no" "temporal" 75 198 1000 0 450 650 69.2307692307692 6.56
"34" "positiu" 10 "escriptura" 36 39 "casat" "reg_no" "autonom" 75 150 3000 0 1000 1394 71.7360114777618 2.7
"35" "positiu" 12 "pares" 36 35 "solter" "reg_no" "fixe" 35 170 0 0 1100 1542 71.3359273670558 4.41818181818182
"36" "positiu" 32 "escriptura" 24 62 "casat" "reg_no" "autonom" 45 119 8500 0 700 1200 58.3333333333333 2.53714285714286
"37" "positiu" 10 "escriptura" 24 56 "casat" "reg_no" "autonom" 45 208 13500 0 500 1560 32.0512820512821 7.824
"38" "positiu" 7 "escriptura" 48 32 "casat" "reg_no" "fixe" 75 115 3000 0 800 1200 66.6666666666667 2.4
"39" "negatiu" 1 "lloguer" 54 36 "casat" "reg_no" "fixe" 70 99 0 0 950 950 100 1.64842105263158
"40" "positiu" 30 "escriptura" 60 64 "casat" "reg_no" "fixe" 45 120 14000 0 1125 1300 86.5384615384615 4
"41" "negatiu" 5 "lloguer" 48 31 "solter" "reg_no" "fixe" 44 90 0 0 1300 1700 76.4705882352941 1.69846153846154
"42" "positiu" 24 "escriptura" 60 42 "casat" "reg_no" "fixe" 75 137 4000 0 900 1167 77.120822622108 4.13333333333333
"43" "positiu" 0 "escriptura" 60 61 "vidu" "reg_no" "altres sit" 35 230 50000 0 950 1150 82.6086956521739 12.3157894736842
"44" "negatiu" 0 "escriptura" 60 32 "casat" "reg_si" "fixe" 45 142 7000 3000 1250 1566 79.8212005108557 3.216
"45" "negatiu" 2 "escriptura" 60 43 "casat" "reg_no" "temporal" 75 71 3000 0 1500 1552 96.6494845360825 -0.16
"46" "positiu" 1 "pares" 60 26 "solter" "reg_no" "temporal" 35 120 0 0 1150 1300 88.4615384615385 4.43478260869565
"47" "positiu" 1 "escriptura" 60 49 "vidu" "reg_no" "autonom" 35 233 15900 4500 2100 2104 99.8098859315589 4.37142857142857
"48" "positiu" 15 "escriptura" 36 47 "casat" "reg_no" "fixe" 75 289 3500 0 1500 2154 69.6378830083565 5.136
"49" "negatiu" 2 "lloguer" 36 27 "divorciat" "reg_no" "fixe" 48 128 0 0 450 545 82.5688073394495 6.4
"50" "positiu" 25 "escriptura" 36 52 "casat" "reg_no" "autonom" 60 150 15000 0 750 1778 42.1822272215973 4.32
"51" "positiu" 8 "escriptura" 60 28 "casat" "reg_no" "fixe" 60 145 4000 1000 1600 1718 93.1315483119907 2.8125
"52" "positiu" 5 "escriptura" 60 31 "casat" "reg_no" "fixe" 75 90 4000 0 900 1500 60 1
"53" "positiu" 0 "lloguer" 60 32 "casat" "reg_no" "fixe" 105 301 0 0 1200 1274 94.1915227629513 9.8
"54" "positiu" 5 "escriptura" 36 51 "casat" "reg_no" "autonom" 75 200 2100 1200 900 1015 88.6699507389163 4.52
"55" "positiu" 3 "pares" 12 37 "casat" "reg_no" "autonom" 60 150 500 0 500 1701 29.3944738389183 2.16
"56" "negatiu" 1 "lloguer" 48 29 "casat" "reg_si" "autonom" 85 100 0 0 1000 1345 74.3494423791822 0.72
"57" "positiu" 7 "pares" 60 26 "solter" "reg_no" "fixe" 35 100 0 0 1000 1238 80.7754442649435 3.9
"58" "positiu" 4 "pares" 30 27 "solter" "reg_no" "fixe" 45 100 5000 0 500 1048 47.7099236641221 3.3
"59" "positiu" 6 "escriptura" 24 63 "casat" "reg_no" "fixe" 60 155 4000 0 600 1048 57.2519083969466 3.8
"60" "positiu" 14 "escriptura" 24 55 "casat" "reg_no" "fixe" 90 715 5000 0 800 1324 60.4229607250755 18.75
"61" "positiu" 3 "lloguer" 60 28 "casat" "reg_no" "fixe" 70 245 0 0 1830 2201 83.1440254429805 5.73770491803279
"62" "positiu" 8 "lloguer" 48 31 "casat" "reg_no" "fixe" 90 150 0 0 1100 1430 76.9230769230769 2.61818181818182
"63" "negatiu" 4 "pares" 42 27 "solter" "reg_no" "fixe" 35 70 0 0 600 926 64.7948164146868 2.45
"64" "positiu" 22 "escriptura" 24 40 "casat" "reg_no" "fixe" 75 190 3000 0 1000 1500 66.6666666666667 2.76
"65" "positiu" 2 "escriptura" 36 35 "casat" "reg_no" "fixe" 75 152 3000 0 1000 1542 64.8508430609598 2.772
"66" "positiu" 15 "contr_privat" 60 43 "casat" "reg_no" "fixe" 75 126 3000 0 1350 1360 99.2647058823529 2.26666666666667
"67" "positiu" 10 "escriptura" 18 34 "casat" "reg_no" "autonom" 75 181 4000 0 600 1000 60 3.18
"68" "positiu" 4 "escriptura" 60 37 "casat" "reg_no" "fixe" 60 185 3000 0 1200 1564 76.7263427109974 6.25
"69" "positiu" 9 "escriptura" 60 53 "casat" "reg_no" "fixe" 45 170 2500 0 850 1205 70.5394190871369 8.82352941176471
"70" "positiu" 22 "lloguer" 60 46 "casat" "reg_no" "fixe" 93 176 7500 0 2000 2200 90.9090909090909 2.49
"71" "positiu" 18 "pares" 36 36 "casat" "reg_no" "autonom" 60 238 0 0 900 2214 40.650406504065 7.12
"72" "positiu" 1 "contr_privat" 60 46 "casat" "reg_no" "fixe" 60 115 5500 800 1000 1137 87.9507475813544 2.82
"73" "positiu" 14 "escriptura" 48 43 "casat" "reg_no" "fixe" 45 200 9000 0 600 1025 58.5365853658537 12.4
"74" "positiu" 8 "escriptura" 36 31 "casat" "reg_si" "autonom" 75 411 9000 4000 800 1593 50.2197112366604 13.32
"75" "positiu" 5 "escriptura" 24 43 "casat" "reg_no" "fixe" 75 93 3000 0 700 1735 40.3458213256484 0.617142857142857
"76" "positiu" 19 "lloguer" 60 38 "casat" "reg_no" "fixe" 86 108 0 0 1000 1132 88.339222614841 1.32
"77" "positiu" 14 "escriptura" 12 37 "casat" "reg_no" "autonom" 90 500 4000 0 500 1338 37.3692077727952 9.84
"78" "positiu" 0 "altres_viv" 36 46 "casat" "reg_si" "altres sit" 45 45 0 0 900 1100 81.8181818181818 0
"79" "positiu" 9 "lloguer" 36 55 "casat" "reg_no" "fixe" 70 250 30000 0 1750 2276 76.8892794376098 3.70285714285714
"80" "positiu" 29 "escriptura" 48 56 "casat" "reg_no" "fixe" 45 100 3000 0 900 1360 66.1764705882353 2.93333333333333
"81" "positiu" 10 "escriptura" 36 55 "casat" "reg_no" "fixe" 60 70 4000 0 1000 1436 69.6378830083565 0.36
"82" "positiu" 10 "pares" 36 52 "casat" "reg_no" "fixe" 60 150 0 0 550 612 89.8692810457516 5.89090909090909
"83" "negatiu" 1 "escriptura" 36 29 "casat" "reg_no" "fixe" 60 70 4500 0 850 1100 77.2727272727273 0.423529411764706
"84" "positiu" 11 "escriptura" 60 39 "divorciat" "reg_si" "fixe" 35 263 2500 0 1000 1300 76.9230769230769 13.68
"85" "positiu" 10 "escriptura" 60 38 "casat" "reg_no" "autonom" 75 200 9000 0 1000 2089 47.8697941598851 7.5
"86" "positiu" 5 "escriptura" 24 24 "solter" "reg_no" "fixe" 35 78 6000 3000 500 2262 22.10433244916 0.624
"87" "positiu" 10 "lloguer" 60 28 "solter" "reg_no" "fixe" 47 120 0 0 600 1054 56.9259962049336 7.3
"88" "positiu" 27 "escriptura" 60 53 "casat" "reg_no" "fixe" 60 125 10000 0 1426 1426 100 2.73492286115007
"89" "negatiu" 0 "lloguer" 60 25 "solter" "reg_no" "temporal" 40 50 0 0 1040 1048 99.236641221374 0.576923076923077
"90" "negatiu" 25 "lloguer" 60 62 "casat" "reg_no" "fixe" 60 146 0 0 1000 1292 77.3993808049536 5.16
"91" "positiu" 3 "pares" 60 29 "solter" "reg_no" "fixe" 35 70 0 0 950 1177 80.71367884452 2.21052631578947
"92" "negatiu" 9 "pares" 60 32 "solter" "reg_si" "fixe" 35 105 0 0 1490 1490 100 2.81879194630872
"93" "positiu" 4 "lloguer" 36 21 "casat" "reg_no" "autonom" 101 413 6000 0 750 850 88.2352941176471 14.976
"94" "positiu" 6 "lloguer" 36 38 "casat" "reg_no" "autonom" 95 500 25000 21400 800 1011 79.1295746785361 8.595
"95" "positiu" 9 "lloguer" 48 56 "casat" "reg_no" "autonom" 140 350 0 0 1400 1571 89.1152132399745 7.2
"96" "positiu" 3 "escriptura" 36 41 "casat" "reg_no" "autonom" 75 200 3000 0 1000 1000 100 4.5
"97" "negatiu" 22 "altres_viv" 36 46 "casat" "reg_no" "fixe" 45 138 0 0 250 270 92.5925925925926 13.392
"98" "positiu" 3 "escriptura" 60 54 "vidu" "reg_no" "altres sit" 35 80 4000 0 950 1382 68.7409551374819 2.84210526315789
"99" "positiu" 30 "escriptura" 36 51 "casat" "reg_no" "autonom" 120 208 15000 0 1500 1713 87.5656742556918 2.112
"100" "positiu" 8 "lloguer" 60 52 "casat" "reg_no" "fixe" 89 137 4000 0 800 1086 73.6648250460405 3.6
"101" "positiu" 38 "escriptura" 48 57 "casat" "reg_no" "autonom" 45 58 12000 0 1500 3262 45.9840588595953 0.416
"102" "positiu" 2 "lloguer" 60 33 "casat" "reg_no" "fixe" 73 130 0 0 1100 1610 68.3229813664596 3.10909090909091
"103" "positiu" 4 "escriptura" 60 33 "casat" "reg_no" "fixe" 75 123 6000 1000 600 1030 58.252427184466 3.8
"104" "negatiu" 0 "lloguer" 36 29 "casat" "reg_no" "temporal" 78 180 0 0 650 650 100 5.64923076923077
"105" "negatiu" 2 "altres_viv" 48 23 "solter" "reg_no" "fixe" 35 140 0 0 1950 2175 89.6551724137931 2.58461538461538
"106" "positiu" 8 "escriptura" 24 33 "casat" "reg_no" "fixe" 75 315 4500 0 400 1780 22.4719101123596 14.4
"107" "negatiu" 1 "lloguer" 36 24 "casat" "reg_no" "temporal" 76 164 0 0 900 950 94.7368421052632 3.52
"108" "negatiu" 6 "pares" 60 28 "casat" "reg_no" "autonom" 90 325 7000 0 1200 1211 99.0916597853014 11.75
"109" "positiu" 5 "escriptura" 60 27 "casat" "reg_no" "fixe" 45 135 5000 1400 1600 1650 96.969696969697 2.85
"110" "negatiu" 13 "pares" 36 33 "solter" "reg_no" "fixe" 35 109 0 0 350 350 100 7.61142857142857
"111" "positiu" 11 "lloguer" 60 32 "casat" "reg_no" "fixe" 79 185 0 0 950 1117 85.0492390331244 6.69473684210526
"112" "positiu" 10 "escriptura" 24 39 "casat" "reg_no" "fixe" 45 217 9000 3000 1500 2468 60.7779578606159 2.272
"113" "negatiu" 20 "escriptura" 60 51 "casat" "reg_no" "autonom" 90 300 12500 2500 1340 1740 77.0114942528736 8.28358208955224
"114" "negatiu" 0 "escriptura" 36 39 "solter" "reg_no" "autonom" 35 251 4000 0 1000 1210 82.6446280991736 7.776
"115" "positiu" 13 "escriptura" 48 29 "casat" "reg_no" "fixe" 60 253 3000 0 670 963 69.5742471443406 13.8268656716418
"116" "negatiu" 2 "escriptura" 36 32 "casat" "reg_no" "fixe" 75 101 1500 400 1200 1646 72.9040097205346 0.66
"117" "negatiu" 3 "escriptura" 36 40 "casat" "reg_si" "autonom" 35 200 10000 0 800 800 100 7.425
"118" "positiu" 12 "escriptura" 36 47 "casat" "reg_no" "fixe" 75 124 3500 0 460 470 97.8723404255319 3.83478260869565
"119" "positiu" 20 "escriptura" 24 66 "casat" "reg_no" "fixe" 45 143 10000 0 950 1370 69.3430656934307 2.47578947368421
"120" "positiu" 3 "contr_privat" 48 39 "divorciat" "reg_no" "autonom" 35 250 4000 1500 700 839 83.4326579261025 13.7142857142857
"121" "positiu" 27 "escriptura" 60 50 "casat" "reg_no" "fixe" 75 135 5500 1000 600 1346 44.5765230312036 5
"122" "positiu" 4 "lloguer" 60 25 "casat" "reg_no" "fixe" 57 115 0 0 900 1350 66.6666666666667 3.86666666666667
"123" "negatiu" 1 "escriptura" 60 27 "casat" "reg_no" "temporal" 75 160 4000 3000 1800 2100 85.7142857142857 1.83333333333333
"124" "positiu" 18 "lloguer" 60 54 "casat" "reg_no" "fixe" 66 214 0 0 1300 1307 99.4644223412395 6.83076923076923
"125" "positiu" 12 "lloguer" 60 42 "casat" "reg_no" "fixe" 114 390 0 0 1100 1126 97.6909413854352 15.0545454545455
"126" "positiu" 12 "escriptura" 48 35 "divorciat" "reg_no" "autonom" 45 500 200000 0 2380 4786 49.7283744254074 9.17647058823529
"127" "negatiu" 0 "pares" 60 23 "solter" "reg_no" "temporal" 35 95 0 0 1400 1478 94.722598105548 2.57142857142857
"128" "positiu" 12 "escriptura" 60 52 "casat" "reg_no" "fixe" 75 200 12000 0 1550 1568 98.8520408163265 4.83870967741935
"129" "positiu" 0 "pares" 24 22 "solter" "reg_no" "temporal" 35 85 0 0 650 1056 61.5530303030303 1.84615384615385
"130" "positiu" 10 "altres_viv" 18 48 "casat" "reg_no" "fixe" 90 214 0 0 1000 1608 62.1890547263682 2.232
"131" "positiu" 2 "escriptura" 60 25 "casat" "reg_no" "fixe" 75 140 3000 0 950 1179 80.5767599660729 4.10526315789474
"132" "negatiu" 10 "altres_viv" 60 26 "casat" "reg_no" "fixe" 45 60 0 0 1400 1524 91.8635170603675 0.642857142857143
"133" "positiu" 8 "escriptura" 60 28 "casat" "reg_no" "fixe" 75 180 4000 0 1300 1730 75.1445086705202 4.84615384615385
"134" "positiu" 20 "escriptura" 30 62 "casat" "reg_no" "autonom" 60 300 24000 9000 600 823 72.9040097205346 7.5
"135" "positiu" 0 "lloguer" 60 33 "casat" "reg_no" "autonom" 65 200 0 0 700 800 87.5 11.5714285714286
"136" "positiu" 16 "pares" 60 41 "casat" "reg_no" "fixe" 75 242 0 0 1300 1482 87.719298245614 7.70769230769231
"137" "positiu" 4 "escriptura" 60 29 "casat" "reg_no" "temporal" 60 155 5000 2500 900 1110 81.0810810810811 4.66666666666667
"138" "negatiu" 1 "lloguer" 60 37 "solter" "reg_no" "fixe" 45 100 0 0 1150 1555 73.9549839228296 2.8695652173913
"139" "positiu" 0 "escriptura" 60 31 "casat" "reg_no" "fixe" 60 105 3500 0 1100 1170 94.017094017094 2.45454545454545
"140" "positiu" 15 "escriptura" 12 50 "casat" "reg_no" "autonom" 45 166 2000 0 500 886 56.4334085778781 2.904
"141" "negatiu" 13 "lloguer" 60 42 "divorciat" "reg_si" "fixe" 47 120 0 0 800 1395 57.3476702508961 5.475
"142" "positiu" 19 "escriptura" 36 33 "casat" "reg_no" "fixe" 60 115 6700 2000 1000 2084 47.9846449136276 1.26
"143" "positiu" 15 "escriptura" 24 54 "casat" "reg_no" "autonom" 90 350 150000 0 3800 8800 43.1818181818182 1.64210526315789
"144" "positiu" 40 "escriptura" 36 58 "casat" "reg_no" "autonom" 75 231 50000 0 1000 1160 86.2068965517241 5.616
"145" "positiu" 9 "lloguer" 60 40 "casat" "reg_no" "fixe" 119 442 6000 1947 900 1211 74.3187448389761 20.2353333333333
"146" "negatiu" 12 "pares" 60 31 "divorciat" "reg_si" "fixe" 35 101 0 0 1300 1300 100 3.04615384615385
"147" "negatiu" 0 "escriptura" 36 35 "casat" "reg_si" "fixe" 105 122 5200 2000 850 850 100 -0.127058823529412
"148" "positiu" 14 "escriptura" 60 64 "casat" "reg_no" "autonom" 60 250 10000 0 700 1204 58.1395348837209 16.2857142857143
"149" "positiu" 10 "pares" 24 29 "solter" "reg_no" "autonom" 35 90 0 0 600 1528 39.2670157068063 2.2
"150" "positiu" 2 "escriptura" 48 33 "casat" "reg_no" "fixe" 45 160 6000 0 1200 1298 92.4499229583975 4.6
"151" "positiu" 15 "escriptura" 18 35 "casat" "reg_no" "autonom" 60 300 4000 0 300 600 50 14.4
"152" "negatiu" 1 "pares" 48 28 "solter" "reg_no" "fixe" 35 83 0 0 1000 1320 75.7575757575758 2.304
"153" "positiu" 27 "escriptura" 60 59 "casat" "reg_no" "autonom" 45 120 11000 0 1100 1300 84.6153846153846 4.09090909090909
"154" "negatiu" 0 "altres_viv" 60 25 "casat" "reg_no" "temporal" 60 60 0 0 1300 1380 94.2028985507246 0
"155" "negatiu" 0 "pares" 60 23 "solter" "reg_no" "temporal" 35 205 0 0 1400 1426 98.1767180925666 7.28571428571429
"156" "positiu" 3 "escriptura" 24 30 "casat" "reg_no" "autonom" 75 133 12000 900 1500 5200 28.8461538461538 0.784
"157" "positiu" 8 "lloguer" 36 36 "casat" "reg_no" "fixe" 78 179 0 0 900 1503 59.8802395209581 4.04
"158" "positiu" 3 "escriptura" 48 25 "solter" "reg_no" "autonom" 35 79 4000 0 1200 1449 82.815734989648 1.76
"159" "positiu" 5 "altres_viv" 60 22 "solter" "reg_no" "fixe" 45 195 0 0 700 1422 49.2264416315049 12.8571428571429
"160" "positiu" 9 "escriptura" 24 45 "casat" "reg_no" "fixe" 75 112 4000 0 500 1430 34.965034965035 1.776
"161" "positiu" 4 "escriptura" 30 47 "casat" "reg_no" "autonom" 90 210 15000 0 1550 1578 98.2256020278834 2.32258064516129
"162" "positiu" 14 "contr_privat" 48 36 "casat" "reg_no" "fixe" 75 155 3500 200 1100 1250 88 3.40363636363636
"163" "positiu" 3 "escriptura" 36 36 "solter" "reg_si" "autonom" 35 394 16000 0 1500 2260 66.3716814159292 8.616
"164" "positiu" 22 "lloguer" 36 60 "casat" "reg_no" "fixe" 60 149 0 0 200 280 71.4285714285714 16.02
"165" "positiu" 20 "lloguer" 48 59 "casat" "reg_no" "fixe" 57 120 0 0 800 1298 61.633281972265 3.78
"166" "negatiu" 6 "escriptura" 48 58 "casat" "reg_si" "autonom" 60 400 86000 0 930 945 98.4126984126984 17.5483870967742
"167" "positiu" 23 "escriptura" 12 37 "casat" "reg_no" "fixe" 45 165 5000 0 900 1694 53.1286894923259 1.6
"168" "negatiu" 5 "escriptura" 36 32 "casat" "reg_no" "autonom" 75 125 6000 0 600 700 85.7142857142857 3
"169" "positiu" 8 "lloguer" 48 26 "solter" "reg_no" "fixe" 42 74 0 0 600 1290 46.5116279069767 2.56
"170" "positiu" 5 "escriptura" 60 40 "casat" "reg_no" "fixe" 75 86 4900 0 1300 1581 82.2264389626818 0.507692307692308
"171" "positiu" 20 "escriptura" 48 55 "casat" "reg_no" "fixe" 45 185 5000 0 1000 1383 72.3065798987708 6.72
"172" "positiu" 11 "lloguer" 60 30 "casat" "reg_no" "fixe" 77 165 0 0 1350 1637 82.4679291386683 3.91111111111111
"173" "positiu" 25 "pares" 54 43 "casat" "reg_no" "fixe" 75 110 7000 0 1275 1275 100 1.48235294117647
"174" "negatiu" 2 "lloguer" 60 28 "casat" "reg_no" "fixe" 74 138 0 0 1400 1400 100 2.74285714285714
"175" "positiu" 20 "escriptura" 24 47 "casat" "reg_no" "autonom" 75 300 5000 0 600 832 72.1153846153846 9
"176" "positiu" 9 "escriptura" 36 29 "solter" "reg_no" "fixe" 35 147 3500 0 1886 2886 65.3499653499653 2.13785790031813
"177" "negatiu" 0 "lloguer" 60 48 "divorciat" "reg_si" "autonom" 35 230 25300 15500 1200 1257 95.4653937947494 2
"178" "positiu" 18 "pares" 60 34 "casat" "reg_no" "fixe" 60 112 6550 0 600 1346 44.5765230312036 5.2
"179" "positiu" 20 "escriptura" 60 53 "casat" "reg_si" "autonom" 75 350 6500 0 800 1138 70.298769771529 20.625
"180" "positiu" 6 "escriptura" 12 44 "casat" "reg_no" "fixe" 45 110 15000 0 300 1801 16.6574125485841 2.6
"181" "negatiu" 0 "escriptura" 48 49 "casat" "reg_no" "temporal" 45 75 2000 0 900 1200 75 1.6
"182" "positiu" 0 "lloguer" 36 51 "casat" "reg_no" "fixe" 113 230 0 0 950 950 100 4.43368421052632
"183" "positiu" 14 "altres_viv" 60 34 "casat" "reg_no" "fixe" 75 85 8000 0 1400 1589 88.1057268722467 0.428571428571429
"184" "positiu" 10 "escriptura" 48 42 "casat" "reg_no" "autonom" 75 210 4000 120 1200 1617 74.2115027829313 5.352
"185" "positiu" 19 "escriptura" 60 34 "casat" "reg_no" "fixe" 75 125 5000 0 1200 1200 100 2.5
"186" "positiu" 11 "escriptura" 60 46 "casat" "reg_no" "fixe" 75 149 3500 0 1400 2194 63.8103919781221 3.17142857142857
"187" "positiu" 1 "escriptura" 48 31 "casat" "reg_no" "fixe" 75 201 2500 96 1100 1642 66.9914738124239 5.45629090909091
"188" "negatiu" 13 "altres_viv" 60 31 "casat" "reg_no" "fixe" 60 105 0 0 1200 1423 84.328882642305 2.25
"189" "positiu" 4 "lloguer" 12 33 "casat" "reg_no" "fixe" 78 183 0 0 600 1600 37.5 2.1
"190" "negatiu" 9 "lloguer" 24 30 "solter" "reg_si" "fixe" 46 113 0 0 700 700 100 2.29714285714286
"191" "positiu" 1 "escriptura" 24 27 "casat" "reg_no" "fixe" 45 126 3000 3700 200 300 66.6666666666667 5.28
"192" "positiu" 4 "escriptura" 36 48 "casat" "reg_no" "autonom" 120 300 5000 0 1000 1165 85.8369098712446 6.48
"193" "positiu" 2 "escriptura" 60 33 "casat" "reg_no" "fixe" 75 160 6000 0 1000 1365 73.2600732600733 5.1
"194" "positiu" 2 "escriptura" 12 44 "casat" "reg_no" "fixe" 90 160 7500 0 500 1706 29.3083235638921 1.68
"195" "negatiu" 0 "altres_viv" 36 48 "casat" "reg_si" "autonom" 45 103 0 0 1600 2053 77.9347296639065 1.305
"196" "positiu" 21 "escriptura" 60 57 "casat" "reg_no" "autonom" 60 95 8000 0 1000 1700 58.8235294117647 2.1
"197" "positiu" 12 "escriptura" 60 34 "casat" "reg_si" "fixe" 75 125 5500 4000 950 1462 64.9794801641587 0.631578947368421
"198" "positiu" 9 "lloguer" 60 38 "casat" "reg_no" "fixe" 87 120 0 0 1177 1300 90.5384615384615 1.68224299065421
"199" "positiu" 2 "lloguer" 36 35 "casat" "reg_no" "fixe" 126 359 0 0 870 1122 77.5401069518717 9.64137931034483
"200" "positiu" 24 "escriptura" 60 52 "casat" "reg_no" "fixe" 45 80 4000 0 1200 1257 95.4653937947494 1.75
"201" "positiu" 1 "pares" 60 28 "solter" "reg_no" "temporal" 35 67 0 0 1050 1387 75.7029560201875 1.82857142857143
"202" "positiu" 15 "escriptura" 48 46 "casat" "reg_no" "fixe" 90 148 12000 0 1000 1266 78.9889415481832 2.784
"203" "positiu" 19 "escriptura" 60 56 "casat" "reg_si" "fixe" 45 298 8000 0 1700 2195 77.4487471526196 8.92941176470588
"204" "positiu" 10 "escriptura" 24 52 "casat" "reg_no" "fixe" 75 318 4500 700 700 2004 34.9301397205589 8.09142857142857
"205" "positiu" 19 "escriptura" 60 35 "casat" "reg_no" "fixe" 75 185 4000 0 1100 1203 91.4380714879468 6
"206" "positiu" 10 "escriptura" 36 45 "casat" "reg_si" "autonom" 60 131 9500 250 750 1138 65.9050966608084 3.288
"207" "positiu" 4 "pares" 48 29 "casat" "reg_no" "fixe" 45 194 0 0 1200 1374 87.3362445414847 5.96
"208" "negatiu" 1 "pares" 60 22 "solter" "reg_no" "fixe" 35 80 3000 0 1500 1514 99.0752972258917 1.8
"209" "positiu" 2 "escriptura" 24 33 "casat" "reg_si" "fixe" 75 147 2000 900 400 750 53.3333333333333 3.78
"210" "positiu" 5 "escriptura" 24 41 "casat" "reg_no" "autonom" 105 156 10000 0 800 1894 42.2386483632524 1.53
"211" "positiu" 11 "escriptura" 36 37 "casat" "reg_no" "fixe" 75 178 3000 0 1000 1048 95.4198473282443 3.708
